make,model,year,esc_consensus,T_assign,v2_action
BUICK,PARK AVENUE,2003,Optional,,carried
GMC,YUKON,2008,Standard,1.0,carried
HONDA,ACCORD,2009,Standard,1.0,carried
FORD,EXCURSION,2000,not_found,,carried
MAZDA,MAZDA3,2008,Optional,,carried
NISSAN,SENTRA,2002,No,0.0,carried
NISSAN,ALTIMA,2007,No,0.0,carried
TOYOTA,SCION TC,2009,No,0.0,carried
HONDA,CR-V,2006,Standard,1.0,carried
HONDA,ACCORD,2001,No,0.0,carried
MERCEDES-BENZ,S-CLASS,2000,not_found,,carried
CHRYSLER,300C,2005,not_found,,carried
JEEP,GRAND CHEROKEE,2000,No,0.0,carried
LEXUS,RX,2008,not_found,,rescue_failed
CHEVROLET,HHR,2010,Standard,1.0,carried
CHEVROLET,CORVETTE,2005,Standard,1.0,carried
FORD,MUSTANG,2007,No,0.0,carried
BUICK,LUCERNE,2006,Optional,,carried
FORD,EXPEDITION,2006,Optional,,carried
TOYOTA,HIGHLANDER,2005,Standard,1.0,carried
CHRYSLER,300C,2008,not_found,,carried
TOYOTA,4-RUNNER,2007,not_found,,carried
NISSAN,ALTIMA,2005,No,0.0,carried
HONDA,ACCORD,2004,No,0.0,carried
TOYOTA,SCION TC,2007,No,0.0,carried
FORD,FOCUS,2010,Standard,1.0,carried
VOLKSWAGEN,JETTA,2008,Optional,,carried
TOYOTA,RAV4,2000,No,0.0,carried
HONDA,CIVIC,2005,No,0.0,carried
CHEVROLET,SILVERADO,2007,Optional,,carried
FORD,CROWN VICTORIA,2000,No,0.0,carried
HONDA,S2000,2006,No,0.0,carried
TOYOTA,SCION XB,2006,Standard,1.0,carried
HONDA,CIVIC,2006,Optional,,carried
GMC,ENVOY,2005,No,0.0,carried
SATURN,ION,2006,No,0.0,carried
CHEVROLET,IMPALA,2008,Optional,,carried
MITSUBISHI,MONTERO SPORT,2003,No,0.0,carried
MINI,COOPER,2004,Optional,,carried
CHEVROLET,SUBURBAN,2004,Optional,,carried
TOYOTA,SIENNA,2010,Standard,1.0,carried
HONDA,ACCORD,2006,Optional,,carried
HONDA,CIVIC,2009,Optional,,carried
KIA,SEDONA,2008,Standard,1.0,carried
TOYOTA,4-RUNNER,2003,not_found,,carried
CHEVROLET,TRAILBLAZER,2006,Standard,1.0,carried
CHEVROLET,IMPALA,2004,No,0.0,carried
TOYOTA,COROLLA,2010,Standard,1.0,carried
CHEVROLET,SILVERADO,2004,No,0.0,carried
NISSAN,XTERRA,2007,Standard,1.0,carried
TOYOTA,CAMRY,2001,No,0.0,carried
FORD,MUSTANG,2005,No,0.0,carried
CADILLAC,CTS,2005,Optional,,carried
HYUNDAI,TIBURON,2008,Optional,,carried
TOYOTA,4-RUNNER,2005,not_found,,carried
NISSAN,SENTRA,2001,No,0.0,carried
CHEVROLET,SILVERADO,2002,No,0.0,carried
CHEVROLET,IMPALA,2009,Optional,,carried
TOYOTA,CAMRY,2009,Optional,,carried
DODGE,NEON,2003,No,0.0,carried
JEEP,LIBERTY,2002,No,0.0,carried
GMC,ENVOY,2003,No,0.0,carried
ACURA,MDX,2007,Standard,1.0,carried
DODGE,STRATUS,2005,No,0.0,carried
CHEVROLET,SILVERADO,2003,No,0.0,carried
OLDSMOBILE,ALERO,2003,No,0.0,carried
VOLVO,S60,2004,Optional,,carried
LINCOLN,NAVIGATOR,2004,Optional,,carried
INFINITI,M35,2006,not_found,,carried
CHEVROLET,EQUINOX,2006,No,0.0,carried
HONDA,ODYSSEY,2006,Standard,1.0,carried
TOYOTA,CAMRY,2010,Standard,1.0,carried
HONDA,PILOT,2006,Standard,1.0,carried
TOYOTA,CAMRY,2008,Optional,,carried
TOYOTA,AVALON,2000,No,0.0,carried
JEEP,GRAND CHEROKEE,2001,No,0.0,carried
TOYOTA,SCION XA,2006,No,0.0,carried
FORD,TAURUS,2005,No,0.0,carried
FORD,EXPLORER,2007,Standard,1.0,carried
TOYOTA,CAMRY,2004,Optional,,carried
JEEP,GRAND CHEROKEE,2004,No,0.0,carried
CHEVROLET,IMPALA,2005,No,0.0,carried
HONDA,CIVIC,2008,Optional,,carried
CHEVROLET,SILVERADO,2000,No,0.0,carried
NISSAN,SENTRA,2008,No,0.0,carried
DODGE,DURANGO,2002,No,0.0,carried
GMC,YUKON,2007,Standard,1.0,carried
PONTIAC,GRAND PRIX,2006,Optional,,carried
MAZDA,CX-9,2010,Standard,1.0,carried
CHEVROLET,IMPALA,2001,No,0.0,carried
DODGE,JOURNEY,2010,Standard,1.0,carried
MERCURY,MARAUDER,2004,No,0.0,carried
CHRYSLER,TOWN AND COUNTRY,2001,No,0.0,carried
MAZDA,MAZDA6,2004,No,0.0,carried
LEXUS,ES,2001,not_found,,rescue_failed
TOYOTA,RAV4,2004,Standard,1.0,carried
KIA,SPECTRA,2009,No,0.0,carried
NISSAN,MAXIMA,2004,Optional,,carried
HYUNDAI,SONATA,2007,Standard,1.0,carried
SUZUKI,GRAND VITARA,2008,Standard,1.0,carried
FORD,TAURUS,2003,No,0.0,carried
BMW,325I,2003,not_found,,carried
INFINITI,G35,2007,Standard,1.0,carried
HONDA,CR-V,2002,No,0.0,carried
MAZDA,MAZDA3,2005,No,0.0,carried
FORD,ESCORT,2002,No,0.0,carried
HONDA,CIVIC,2007,Optional,,carried
FORD,ESCAPE,2002,No,0.0,carried
FORD,CONTOUR,2000,No,0.0,carried
CHRYSLER,PT CRUISER,2002,No,0.0,carried
HYUNDAI,TIBURON,2000,not_found,,carried
LEXUS,RX,2010,not_found,,rescue_failed
PONTIAC,GRAND AM,2005,No,0.0,carried
HYUNDAI,SANTA FE,2004,No,0.0,carried
PONTIAC,G5,2009,Optional,,rescued
PONTIAC,VIBE,2007,Optional,,carried
DODGE,CARAVAN/GRAND CARAVAN,2000,not_found,,carried
PONTIAC,G6,2007,Optional,,rescued
HYUNDAI,SONATA,2009,Standard,1.0,carried
KIA,SEDONA,2004,No,0.0,carried
FORD,EXPLORER,2003,Optional,,carried
HONDA,ACCORD,2010,Standard,1.0,carried
ACURA,TSX,2009,Standard,1.0,carried
AUDI,A4,2004,Standard,1.0,rescued
FORD,EXCURSION,2001,not_found,,carried
CHEVROLET,IMPALA,2003,No,0.0,carried
FORD,FOCUS,2001,Optional,,carried
MERCEDES-BENZ,E-CLASS,2003,Standard,1.0,carried
VOLKSWAGEN,BEETLE,2009,not_found,,carried
FORD,WINDSTAR,2002,Optional,,carried
HONDA,CIVIC,2002,No,0.0,carried
CHEVROLET,CAVALIER,2002,No,0.0,carried
HONDA,CIVIC,2000,No,0.0,carried
FORD,TRANSIT CONNECT,2010,Optional,,carried
HYUNDAI,ACCENT,2002,No,0.0,carried
GMC,YUKON,2004,Optional,,carried
SATURN,SL1,2001,not_found,,carried
CHRYSLER,TOWN AND COUNTRY,2010,not_found,,carried
CHEVROLET,TAHOE,2007,Standard,1.0,carried
MITSUBISHI,LANCER,2006,No,0.0,carried
ACURA,MDX,2009,Standard,1.0,carried
CHEVROLET,CAVALIER,2003,No,0.0,carried
CHEVROLET,MALIBU,2005,No,0.0,carried
MERCURY,GRAND MARQUIS,2003,No,0.0,carried
CADILLAC,CTS,2008,Standard,1.0,carried
SUZUKI,GRAND VITARA,2007,Standard,1.0,carried
HONDA,ACCORD,2008,Standard,1.0,carried
NISSAN,SENTRA,2005,No,0.0,carried
HONDA,ODYSSEY,2005,Standard,1.0,carried
LINCOLN,NAVIGATOR,2010,Standard,1.0,carried
FORD,CROWN VICTORIA,2010,No,0.0,carried
NISSAN,SENTRA,2004,No,0.0,carried
CHRYSLER,TOWN AND COUNTRY,2008,not_found,,carried
CHEVROLET,HHR,2006,No,0.0,carried
CHEVROLET,MALIBU,2004,No,0.0,carried
CHRYSLER,300,2009,Optional,,carried
LEXUS,IS,2002,not_found,,rescue_failed
TOYOTA,CAMRY SOLARA,2008,Optional,,carried
PONTIAC,GRAND AM,2004,No,0.0,carried
HONDA,PILOT,2008,Standard,1.0,carried
SUBARU,FORESTER,2008,Optional,,carried
VOLKSWAGEN,JETTA,2000,No,0.0,carried
HONDA,CIVIC,2003,No,0.0,carried
JEEP,LIBERTY,2005,No,0.0,carried
KIA,RIO,2006,Optional,,carried
SATURN,ION,2005,No,0.0,carried
CHRYSLER,SEBRING,2007,Optional,,carried
FORD,FOCUS,2005,No,0.0,carried
DODGE,CARAVAN/GRAND CARAVAN,2007,not_found,,carried
TOYOTA,HIGHLANDER,2002,Optional,,carried
DODGE,AVENGER,2010,Optional,,carried
MAZDA,TRIBUTE,2003,No,0.0,carried
CHEVROLET,MONTE CARLO,2002,No,0.0,carried
MAZDA,MAZDA3,2007,Optional,,carried
HYUNDAI,SANTA FE,2008,Standard,1.0,carried
CHRYSLER,TOWN AND COUNTRY,2005,not_found,,carried
HYUNDAI,ELANTRA,2002,No,0.0,carried
CHEVROLET,TAHOE,2003,Optional,,carried
JEEP,LIBERTY,2006,Standard,1.0,carried
CHEVROLET,IMPALA,2007,No,0.0,carried
CHEVROLET,MALIBU,2006,No,0.0,carried
NISSAN,XTERRA,2006,Standard,1.0,carried
TOYOTA,AVALON,2003,Optional,,carried
HYUNDAI,XG 350,2005,No,0.0,carried
HONDA,CR-V,2001,No,0.0,carried
GMC,ACADIA,2007,Standard,1.0,carried
MERCURY,MILAN,2008,No,0.0,carried
TOYOTA,SIENNA,2002,Optional,,carried
LINCOLN,LS,2000,not_found,,rescue_failed
MITSUBISHI,GALANT,2007,No,0.0,carried
PONTIAC,G6,2005,No,0.0,rescued
TOYOTA,CAMRY,2000,No,0.0,carried
FORD,EXCURSION,2003,No,0.0,carried
HONDA,CR-V,2007,Standard,1.0,carried
FORD,MUSTANG,2006,No,0.0,carried
CADILLAC,CTS,2007,Optional,,carried
CHRYSLER,300,2007,Optional,,carried
TOYOTA,4-RUNNER,2006,not_found,,carried
DODGE,DURANGO,2009,Standard,1.0,carried
FORD,ESCAPE,2003,No,0.0,carried
BUICK,LESABRE,2005,Optional,,carried
FORD,TAURUS,2002,No,0.0,carried
JEEP,GRAND CHEROKEE,2002,No,0.0,carried
CHEVROLET,MALIBU,2009,Standard,1.0,carried
LEXUS,ES,2010,not_found,,rescue_failed
CHEVROLET,COBALT,2006,No,0.0,carried
CADILLAC,ESCALADE,2003,Optional,,carried
HONDA,CIVIC,2004,No,0.0,carried
BUICK,LESABRE,2004,Optional,,carried
LEXUS,ES,2003,not_found,,rescue_failed
TOYOTA,FJ CRUISER,2008,Standard,1.0,carried
TOYOTA,COROLLA,2008,Optional,,carried
BMW,528I,2008,not_found,,carried
LEXUS,RX,2003,not_found,,rescue_failed
VOLKSWAGEN,BEETLE,2000,not_found,,carried
CHEVROLET,MALIBU,2001,No,0.0,carried
CHEVROLET,MALIBU,2007,No,0.0,carried
FORD,EXPEDITION,2010,Standard,1.0,carried
MITSUBISHI,MONTERO SPORT,2000,not_found,,carried
NISSAN,ALTIMA,2003,No,0.0,carried
HYUNDAI,ACCENT,2009,No,0.0,carried
MITSUBISHI,ECLIPSE,2000,not_found,,carried
LINCOLN,ZEPHYR,2006,No,0.0,carried
BUICK,RENDEZVOUS,2004,No,0.0,carried
FORD,FLEX,2009,Standard,1.0,carried
GMC,YUKON,2006,Standard,1.0,carried
HYUNDAI,ELANTRA,2006,No,0.0,carried
LINCOLN,MKX,2008,Standard,1.0,carried
MERCEDES-BENZ,E-CLASS,2004,Standard,1.0,carried
CHEVROLET,MONTE CARLO,2000,not_found,,carried
HONDA,ACCORD,2007,Optional,,carried
LINCOLN,NAVIGATOR,2005,Standard,1.0,carried
INFINITI,G37,2009,Standard,1.0,carried
NISSAN,PATHFINDER,2007,Standard,1.0,carried
CHEVROLET,IMPALA,2010,Standard,1.0,carried
MERCEDES-BENZ,C-CLASS,2006,Standard,1.0,carried
CHEVROLET,COBALT,2007,No,0.0,carried
FORD,CROWN VICTORIA,2005,No,0.0,carried
GMC,SAFARI,2003,No,0.0,carried
VOLKSWAGEN,JETTA,2004,Optional,,carried
MAZDA,MAZDA3,2006,No,0.0,carried
JEEP,WRANGLER,2001,No,0.0,carried
FORD,EDGE,2010,Standard,1.0,carried
FORD,MUSTANG,2002,No,0.0,carried
CHEVROLET,TRAILBLAZER,2005,No,0.0,carried
VOLKSWAGEN,PASSAT,2006,Standard,1.0,carried
BMW,X5,2005,Standard,1.0,rescued
MERCURY,MILAN,2007,No,0.0,carried
CHEVROLET,SUBURBAN,2007,Standard,1.0,carried
MERCURY,MARINER,2008,ambiguous,,carried
DODGE,CHARGER,2006,Standard,1.0,carried
TOYOTA,CAMRY,2007,Optional,,carried
CHEVROLET,IMPALA,2006,No,0.0,carried
TOYOTA,AVALON,2002,Optional,,carried
HYUNDAI,SANTA FE,2009,Standard,1.0,carried
HONDA,CR-V,2004,No,0.0,carried
TOYOTA,SIENNA,2004,Optional,,carried
CHEVROLET,CAMARO,2010,Standard,1.0,carried
JEEP,LIBERTY,2004,No,0.0,carried
NISSAN,SENTRA,2006,No,0.0,carried
NISSAN,XTERRA,2010,Standard,1.0,carried
ACURA,TSX,2006,Standard,1.0,carried
INFINITI,G35,2005,Standard,1.0,carried
HONDA,CIVIC,2001,No,0.0,carried
CHEVROLET,SUBURBAN,2003,Optional,,carried
CHEVROLET,MALIBU,2002,No,0.0,carried
CHEVROLET,SUBURBAN,2008,Standard,1.0,carried
TOYOTA,COROLLA,2003,No,0.0,carried
JEEP,WRANGLER,2002,No,0.0,carried
MITSUBISHI,ENDEAVOR,2004,Optional,,carried
FORD,MUSTANG,2004,No,0.0,carried
TOYOTA,SCION TC,2005,No,0.0,carried
OLDSMOBILE,INTRIGUE,2002,Optional,,carried
FORD,TAURUS,2001,No,0.0,carried
NISSAN,ALTIMA,2006,No,0.0,carried
GMC,SONOMA,2000,No,0.0,carried
DODGE,MAGNUM,2007,Optional,,carried
TOYOTA,COROLLA,2004,No,0.0,carried
NISSAN,ROGUE,2008,Standard,1.0,carried
NISSAN,MAXIMA,2006,Optional,,carried
MERCURY,MONTEREY,2004,Optional,,carried
MAZDA,PROTEGE,2000,No,0.0,carried
SATURN,ION,2007,No,0.0,carried
MITSUBISHI,GALANT,2005,No,0.0,carried
DODGE,CALIBER,2010,Optional,,carried
FORD,FUSION,2008,No,0.0,carried
HONDA,ACCORD,2000,No,0.0,carried
NISSAN,350Z,2003,Optional,,carried
CHRYSLER,300,2008,Optional,,carried
LEXUS,IS,2007,not_found,,rescue_failed
MERCEDES-BENZ,C-CLASS,2003,Standard,1.0,carried
TOYOTA,COROLLA,2006,Optional,,carried
LEXUS,RX,2004,not_found,,rescue_failed
TOYOTA,CAMRY SOLARA,2002,Optional,,carried
BUICK,ENCLAVE,2009,Standard,1.0,carried
NISSAN,ALTIMA,2010,Standard,1.0,carried
CHEVROLET,TAHOE,2006,Standard,1.0,carried
FORD,FUSION,2007,No,0.0,carried
MAZDA,RX-8,2005,Optional,,carried
CHEVROLET,EQUINOX,2005,No,0.0,carried
HYUNDAI,SANTA FE,2003,No,0.0,carried
TOYOTA,SIENNA,2006,Optional,,carried
FORD,EDGE,2007,Standard,1.0,carried
KIA,SEDONA,2002,No,0.0,carried
SUBARU,IMPREZA,2003,No,0.0,carried
LEXUS,GX,2010,not_found,,rescue_failed
KIA,SPORTAGE,2007,Standard,1.0,carried
SUBARU,FORESTER,2010,Standard,1.0,carried
DODGE,STRATUS,2002,No,0.0,carried
TOYOTA,YARIS,2008,No,0.0,carried
TOYOTA,RAV4,2008,Standard,1.0,carried
GMC,ENVOY,2004,No,0.0,carried
HONDA,ODYSSEY,2002,No,0.0,carried
FORD,FREESTAR,2004,Optional,,carried
HONDA,ELEMENT,2006,No,0.0,carried
TOYOTA,CAMRY,2006,Optional,,carried
KIA,SPORTAGE,2001,not_found,,carried
TOYOTA,COROLLA MATRIX,2003,No,0.0,carried
KIA,SPECTRA,2006,No,0.0,carried
MERCEDES-BENZ,CLS-CLASS,2007,Standard,1.0,carried
PONTIAC,GRAND AM,2003,No,0.0,carried
TOYOTA,SIENNA,2009,Standard,1.0,carried
TOYOTA,HIGHLANDER,2008,Standard,1.0,carried
JEEP,LIBERTY,2010,Standard,1.0,carried
TOYOTA,COROLLA,2009,Optional,,carried
JAGUAR,S-TYPE,2003,Standard,1.0,carried
JAGUAR,S-TYPE,2006,Standard,1.0,carried
MERCURY,COUGAR,2000,not_found,,carried
HYUNDAI,TUCSON,2006,Standard,1.0,carried
CHRYSLER,PT CRUISER,2006,No,0.0,carried
FORD,FUSION,2009,Optional,,carried
JEEP,GRAND CHEROKEE,2005,Optional,,carried
FORD,FUSION,2010,Standard,1.0,carried
BUICK,CENTURY,2003,No,0.0,carried
TOYOTA,SIENNA,2003,Optional,,carried
CHEVROLET,IMPALA,2000,No,0.0,carried
HONDA,FIT,2009,Optional,,carried
FORD,EXPEDITION,2000,No,0.0,carried
CHEVROLET,TAHOE,2004,Optional,,carried
TOYOTA,CAMRY,2003,Optional,,carried
KIA,SPECTRA LD,2005,No,0.0,carried
CHEVROLET,CAVALIER,2000,No,0.0,carried
GMC,ENVOY,2008,Standard,1.0,carried
FORD,TAURUS,2000,No,0.0,carried
JEEP,WRANGLER,2000,No,0.0,carried
VOLKSWAGEN,TOUAREG,2004,Standard,1.0,carried
CHEVROLET,UPLANDER,2008,Standard,1.0,carried
FORD,EXPEDITION,2004,Optional,,carried
NISSAN,SENTRA,2007,No,0.0,carried
SUZUKI,GRAND VITARA,2006,ambiguous,,carried
FORD,EXPLORER,2005,ambiguous,,carried
PONTIAC,VIBE,2005,Optional,,carried
LEXUS,ES,2008,not_found,,rescue_failed
PONTIAC,G6,2008,Optional,,rescued
HYUNDAI,ELANTRA,2004,No,0.0,carried
KIA,SPECTRA,2008,No,0.0,carried
NISSAN,MAXIMA,2001,No,0.0,carried
VOLVO,S60,2006,Optional,,carried
TOYOTA,RAV4,2010,Standard,1.0,carried
GMC,SIERRA,2008,Optional,,carried
DODGE,NEON,2005,No,0.0,carried
PONTIAC,SOLSTICE,2007,Optional,,carried
TOYOTA,RAV4,2003,No,0.0,carried
FORD,MUSTANG,2009,No,0.0,carried
TOYOTA,RAV4,2002,No,0.0,carried
JEEP,WRANGLER,2010,Standard,1.0,carried
BUICK,RAINIER,2004,No,0.0,carried
TOYOTA,CAMRY,2005,Optional,,carried
MITSUBISHI,ECLIPSE,2001,No,0.0,carried
VOLKSWAGEN,JETTA,2003,Optional,,carried
CHEVROLET,EQUINOX,2007,Standard,1.0,carried
SATURN,SC1,2002,not_found,,carried
CHEVROLET,SILVERADO,2006,No,0.0,carried
BUICK,LESABRE,2002,Optional,,carried
HONDA,ODYSSEY,2007,Standard,1.0,carried
CHEVROLET,IMPALA,2002,No,0.0,carried
FORD,EDGE,2009,Standard,1.0,carried
CHEVROLET,SUBURBAN,2010,Standard,1.0,carried
CHEVROLET,TRAILBLAZER,2002,No,0.0,carried
PONTIAC,GRAND PRIX,2008,Optional,,carried
TOYOTA,COROLLA,2002,No,0.0,carried
FORD,MUSTANG,2010,Standard,1.0,carried
VOLKSWAGEN,JETTA,2001,No,0.0,carried
CHEVROLET,S-10 PICKUP,2000,No,0.0,carried
CHEVROLET,ASTRO VAN,2001,No,0.0,carried
VOLKSWAGEN,JETTA,2006,Optional,,carried
SUBARU,LEGACY,2004,Optional,,carried
SUZUKI,XL7,2004,not_found,,carried
CHRYSLER,TOWN AND COUNTRY,2004,not_found,,carried
MAZDA,CX-7,2010,Standard,1.0,carried
MAZDA,MAZDA5,2006,No,0.0,carried
PONTIAC,VIBE,2003,No,0.0,carried
KIA,OPTIMA,2004,No,0.0,carried
HONDA,ODYSSEY,2008,Standard,1.0,carried
CHEVROLET,EXPRESS,2008,ambiguous,,carried
CHEVROLET,MALIBU,2003,No,0.0,carried
DODGE,DURANGO,2005,No,0.0,carried
VOLKSWAGEN,PASSAT,2003,Optional,,carried
HYUNDAI,ELANTRA,2001,No,0.0,carried
CADILLAC,ESCALADE,2007,Standard,1.0,carried
PONTIAC,MONTANA/ SV6,2005,not_found,,carried
TOYOTA,SIENNA,2005,Optional,,carried
MAZDA,MAZDA6,2003,No,0.0,carried
MITSUBISHI,ECLIPSE,2003,No,0.0,carried
ACURA,MDX,2005,Standard,1.0,carried
AUDI,A6,2009,Standard,1.0,rescued
CADILLAC,CTS,2003,Optional,,carried
HYUNDAI,SONATA,2005,No,0.0,carried
TOYOTA,CAMRY SOLARA,2007,Optional,,carried
SATURN,VUE,2002,No,0.0,carried
FORD,ESCAPE,2008,ambiguous,,carried
JEEP,COMMANDER,2007,Standard,1.0,carried
CADILLAC,SEVILLE,2004,Standard,1.0,carried
BMW,325XI,2004,not_found,,carried
CHEVROLET,HHR,2009,Standard,1.0,carried
HONDA,PILOT,2009,Standard,1.0,carried
HONDA,FIT,2010,Optional,,carried
OLDSMOBILE,ALERO,2002,No,0.0,carried
DODGE,CARAVAN/GRAND CARAVAN,2001,not_found,,carried
DODGE,CARAVAN/GRAND CARAVAN,2005,not_found,,carried
TOYOTA,FJ CRUISER,2007,Standard,1.0,carried
KIA,SPECTRA,2007,No,0.0,carried
KIA,RIO,2009,No,0.0,carried
TOYOTA,CAMRY SOLARA,2006,Optional,,carried
GMC,YUKON,2005,Optional,,carried
SUBARU,IMPREZA,2008,Optional,,carried
KIA,FORTE,2010,Standard,1.0,carried
CHEVROLET,COBALT,2009,Optional,,carried
BUICK,RENDEZVOUS,2002,No,0.0,carried
PONTIAC,AZTEK,2004,No,0.0,carried
CHRYSLER,SEBRING,2002,No,0.0,carried
PONTIAC,G5,2007,No,0.0,rescued
PONTIAC,G6,2006,Optional,,rescued
SAAB,9-5,2000,not_found,,carried
OLDSMOBILE,INTRIGUE,2000,No,0.0,carried
BUICK,LUCERNE,2008,Optional,,carried
MITSUBISHI,ECLIPSE,2006,No,0.0,carried
SUBARU,FORESTER,2004,No,0.0,carried
CHEVROLET,TAHOE,2002,No,0.0,carried
ACURA,RDX,2008,Standard,1.0,carried
FORD,EXPLORER,2008,Standard,1.0,carried
CADILLAC,DEVILLE,2004,Optional,,carried
BUICK,LACROSSE,2005,Optional,,carried
SATURN,L300,2003,not_found,,carried
MAZDA,MAZDA6,2010,Standard,1.0,carried
FORD,FIVE HUNDRED,2006,No,0.0,carried
NISSAN,MAXIMA,2007,Optional,,carried
MITSUBISHI,ECLIPSE SPYDER,2004,No,0.0,carried
HYUNDAI,ACCENT,2008,No,0.0,carried
DODGE,DURANGO,2001,No,0.0,carried
HYUNDAI,ENTOURAGE,2007,Standard,1.0,carried
MITSUBISHI,OUTLANDER,2007,Standard,1.0,carried
SATURN,ION,2004,No,0.0,carried
TOYOTA,4-RUNNER,2008,not_found,,carried
CHEVROLET,SUBURBAN,2001,No,0.0,carried
JEEP,GRAND CHEROKEE,2009,Standard,1.0,carried
LINCOLN,NAVIGATOR,2006,Standard,1.0,carried
BMW,X3,2005,Standard,1.0,rescued
HONDA,CR-V,2003,No,0.0,carried
MAZDA,CX-7,2007,Standard,1.0,carried
TOYOTA,HIGHLANDER,2006,Standard,1.0,carried
NISSAN,MAXIMA,2002,Optional,,carried
JEEP,WRANGLER,2009,Standard,1.0,carried
TOYOTA,AVALON,2008,Optional,,carried
VOLKSWAGEN,JETTA,2002,Optional,,carried
HONDA,PILOT,2005,Standard,1.0,carried
FORD,EXPEDITION,2001,No,0.0,carried
TOYOTA,SIENNA,2001,Optional,,carried
LEXUS,IS,2004,not_found,,rescue_failed
MAZDA,TRIBUTE,2004,No,0.0,carried
BMW,540I,2002,not_found,,carried
BMW,525I,2007,not_found,,carried
JEEP,PATRIOT,2010,Standard,1.0,carried
MAZDA,MPV,2000,No,0.0,carried
HONDA,CIVIC,2010,Optional,,carried
DODGE,STRATUS,2004,No,0.0,carried
LEXUS,ES,2004,not_found,,rescue_failed
NISSAN,SENTRA,2010,Optional,,carried
MERCURY,MONTEGO,2005,No,0.0,carried
CHRYSLER,TOWN AND COUNTRY,2003,not_found,,carried
CHEVROLET,MALIBU,2008,Optional,,carried
TOYOTA,AVALON,2005,Optional,,carried
TOYOTA,SEQUOIA,2003,Standard,1.0,carried
LINCOLN,MKZ,2010,Standard,1.0,carried
KIA,SEDONA,2003,No,0.0,carried
DODGE,STRATUS,2006,No,0.0,carried
FORD,EXPLORER,2006,Standard,1.0,carried
HYUNDAI,ELANTRA,2008,Optional,,carried
PONTIAC,SUNFIRE,2001,No,0.0,carried
SUBARU,FORESTER,2005,No,0.0,carried
CHRYSLER,ASPEN,2007,Standard,1.0,carried
NISSAN,ALTIMA,2001,No,0.0,carried
TOYOTA,PRIUS,2007,Optional,,carried
NISSAN,PATHFINDER,2002,No,0.0,carried
LAND ROVER,RANGE ROVER SPORT,2006,Standard,1.0,carried
HONDA,CR-V,2009,Standard,1.0,carried
LEXUS,ES,2002,not_found,,rescue_failed
SUBARU,FORESTER,2009,Standard,1.0,carried
SUBARU,FORESTER,2000,No,0.0,carried
NISSAN,MURANO,2007,Optional,,carried
VOLKSWAGEN,JETTA,2007,Optional,,carried
HONDA,PILOT,2004,Optional,,carried
BMW,X3,2004,Standard,1.0,rescued
BUICK,LESABRE,2001,Optional,,carried
SATURN,SL2,2000,not_found,,carried
MERCURY,COUGAR,2001,No,0.0,carried
